id,item_count,total_item_price,total_payment_value,total_freight_value,review_score,order_purchase_month,order_purchase_day,order_purchase_dayofweek,order_purchase_hour,order_purchase_time_day,until_shipped_waiting_hours,until_delivered_waiting_hours,total_package_volume,total_package_weight_g,delivery_efficiency,total_delivered_waiting_day,is_shipping_delayed,is_delivered_delayed,geo_distance,customer_state_region_type,seller_state_region_type,review_type,logistics_delay_hours,RFM_type,seller_level,product_type4,product_category6,package_kmeans,price_kmeans
7148,1,1,1,2,5,8,3,5,11,1,1,1,2,2,1,1,0,0,1,3,3,1,1,2,0,3,5,2,3
10729,1,1,1,1,4,6,2,5,11,1,1,1,2,1,1,1,0,0,0,2,3,1,1,1,1,3,4,2,3
5843,1,2,2,2,5,11,29,3,7,0,1,1,2,2,1,1,0,0,0,3,3,1,1,3,1,4,1,2,0
7622,1,1,1,0,5,4,27,4,9,0,1,1,1,2,1,1,0,0,0,3,3,1,1,1,0,2,2,0,3
2447,1,0,0,0,5,4,4,3,9,0,1,1,0,1,1,1,0,0,0,3,3,1,1,2,0,1,6,0,3
8105,1,1,1,2,5,7,16,1,12,1,1,1,1,2,1,1,0,0,2,3,3,1,1,2,0,3,5,0,3
10641,2,2,2,2,5,5,21,1,14,1,1,1,2,2,1,1,0,0,1,3,3,1,1,4,1,3,4,1,0
12012,1,1,1,1,5,6,2,6,23,0,1,1,1,1,1,1,0,0,0,2,3,1,1,2,1,4,1,0,3
7507,1,0,0,2,2,7,20,5,11,1,1,1,1,2,1,1,0,0,2,1,3,0,1,2,1,3,4,0,3
3898,1,1,1,0,4,8,1,2,10,1,1,1,0,0,1,1,0,0,1,3,3,1,1,1,1,3,1,0,3
10056,1,2,2,2,3,1,3,3,12,1,1,1,1,1,1,1,0,0,2,1,3,0,1,4,0,3,6,0,0
2187,2,1,2,2,1,11,24,5,10,1,1,1,1,1,1,1,0,0,1,2,2,0,1,3,1,3,5,0,3
9487,1,1,1,1,5,7,17,2,21,1,1,1,1,1,1,1,0,0,2,1,3,1,1,2,0,3,5,0,3
